Timestamp,"Ithaca, NY, United States Daytime","Ithaca, NY, United States Humidity","Ithaca, NY, United States Condition","Ithaca, NY, United States Temp"
2024-01-04T07:00:00-05:00 New_York,,95,snow,31
2024-01-04T07:36:00-05:00 New_York,TRUE,,,
2024-01-04T08:00:00-05:00 New_York,,91,snow,29
2024-01-04T09:00:00-05:00 New_York,,82,ice,29
2024-01-04T10:00:00-05:00 New_York,,77,ice,28
2024-01-04T11:00:00-05:00 New_York,,74,flurries,29
2024-01-04T12:00:00-05:00 New_York,,73,snow,29
2024-01-04T13:00:00-05:00 New_York,,73,snow,29
2024-01-04T14:00:00-05:00 New_York,,70,flurries,28
2024-01-04T15:00:00-05:00 New_York,,70,flurries,28
2024-01-04T16:00:00-05:00 New_York,,64,flurries,27
2024-01-04T16:46:00-05:00 New_York,FALSE,,,
2024-01-04T17:00:00-05:00 New_York,,65,clear,25
2024-01-04T18:00:00-05:00 New_York,,65,clear,24
2024-01-04T19:00:00-05:00 New_York,,63,clear,24
2024-01-04T20:00:00-05:00 New_York,,62,clear,23
2024-01-04T21:00:00-05:00 New_York,,62,clear,23
2024-01-04T22:00:00-05:00 New_York,,62,clear,23
2024-01-04T23:00:00-05:00 New_York,,63,clear,23
2024-01-05T00:00:00-05:00 New_York,,65,clear,23
2024-01-05T01:00:00-05:00 New_York,,67,clear,23
2024-01-05T02:00:00-05:00 New_York,,70,clear,23
2024-01-05T03:00:00-05:00 New_York,,74,clear,22
2024-01-05T04:00:00-05:00 New_York,,76,clear,22
2024-01-05T05:00:00-05:00 New_York,,77,clear,22
2024-01-05T06:00:00-05:00 New_York,,78,clear,22
2024-01-05T07:00:00-05:00 New_York,,78,clear,22
2024-01-05T07:36:00-05:00 New_York,TRUE,,,
2024-01-05T08:00:00-05:00 New_York,,78,clear,22
2024-01-05T09:00:00-05:00 New_York,,78,clear,23
2024-01-05T10:00:00-05:00 New_York,,71,clear,25
2024-01-05T11:00:00-05:00 New_York,,67,clear,27
2024-01-05T12:00:00-05:00 New_York,,65,cloudy,29
2024-01-05T13:00:00-05:00 New_York,,60,clear,31
2024-01-05T14:00:00-05:00 New_York,,55,clear,32
2024-01-05T15:00:00-05:00 New_York,,53,clear,33
2024-01-05T16:00:00-05:00 New_York,,53,clear,32
2024-01-05T16:47:00-05:00 New_York,FALSE,,,
2024-01-05T17:00:00-05:00 New_York,,59,clear,29
2024-01-05T18:00:00-05:00 New_York,,67,partlyCloudy,27
2024-01-05T19:00:00-05:00 New_York,,69,partlyCloudy,27
2024-01-05T20:00:00-05:00 New_York,,70,clear,26
2024-01-05T21:00:00-05:00 New_York,,71,clear,26
2024-01-05T22:00:00-05:00 New_York,,72,clear,25
2024-01-05T23:00:00-05:00 New_York,,73,clear,24
2024-01-06T00:00:00-05:00 New_York,,72,clear,24
2024-01-06T01:00:00-05:00 New_York,,71,partlyCloudy,24
2024-01-06T02:00:00-05:00 New_York,,69,partlyCloudy,24
2024-01-06T03:00:00-05:00 New_York,,68,partlyCloudy,24
2024-01-06T04:00:00-05:00 New_York,,69,partlyCloudy,24
2024-01-06T05:00:00-05:00 New_York,,68,cloudy,25
2024-01-06T06:00:00-05:00 New_York,,67,flurries,25
2024-01-06T07:00:00-05:00 New_York,,70,flurries,26
2024-01-06T07:36:00-05:00 New_York,TRUE,,,
2024-01-06T08:00:00-05:00 New_York,,73,ice,26
2024-01-06T09:00:00-05:00 New_York,,73,ice,27
2024-01-06T10:00:00-05:00 New_York,,74,flurries,29
2024-01-06T11:00:00-05:00 New_York,,68,ice,30
2024-01-06T12:00:00-05:00 New_York,,66,flurries,31
2024-01-06T13:00:00-05:00 New_York,,62,partlyCloudy,32
2024-01-06T14:00:00-05:00 New_York,,60,cloudy,33
2024-01-06T15:00:00-05:00 New_York,,58,partlyCloudy,34
2024-01-06T16:00:00-05:00 New_York,,58,cloudy,33
2024-01-06T16:48:00-05:00 New_York,FALSE,,,
2024-01-06T17:00:00-05:00 New_York,,64,partlyCloudy,31
2024-01-06T18:00:00-05:00 New_York,,74,flurries,29
2024-01-06T19:00:00-05:00 New_York,,90,snow,29
2024-01-06T20:00:00-05:00 New_York,,95,snow,30
2024-01-06T21:00:00-05:00 New_York,,95,snow,30
2024-01-06T22:00:00-05:00 New_York,,96,snow,30
2024-01-06T23:00:00-05:00 New_York,,95,snow,29
2024-01-07T00:00:00-05:00 New_York,,97,flurries,28
2024-01-07T01:00:00-05:00 New_York,,97,snow,27
2024-01-07T02:00:00-05:00 New_York,,96,flurries,25
2024-01-07T03:00:00-05:00 New_York,,97,snow,26
2024-01-07T04:00:00-05:00 New_York,,97,snow,28
2024-01-07T05:00:00-05:00 New_York,,98,snow,28
2024-01-07T06:00:00-05:00 New_York,,98,snow,29
2024-01-07T07:00:00-05:00 New_York,,98,snow,29
2024-01-07T07:36:00-05:00 New_York,TRUE,,,
2024-01-07T08:00:00-05:00 New_York,,98,snow,29
2024-01-07T09:00:00-05:00 New_York,,98,snow,30
2024-01-07T10:00:00-05:00 New_York,,97,snow,31
2024-01-07T11:00:00-05:00 New_York,,96,snow,32
2024-01-07T12:00:00-05:00 New_York,,96,snow,33
2024-01-07T13:00:00-05:00 New_York,,95,snow,34
2024-01-07T14:00:00-05:00 New_York,,96,snow,34
2024-01-07T15:00:00-05:00 New_York,,97,snow,34
2024-01-07T16:00:00-05:00 New_York,,96,snow,34
2024-01-07T16:49:00-05:00 New_York,FALSE,,,
2024-01-07T17:00:00-05:00 New_York,,94,flurries,34
2024-01-07T18:00:00-05:00 New_York,,92,flurries,32
2024-01-07T19:00:00-05:00 New_York,,94,flurries,31
2024-01-07T20:00:00-05:00 New_York,,93,flurries,30
2024-01-07T21:00:00-05:00 New_York,,93,flurries,30
2024-01-07T22:00:00-05:00 New_York,,92,ice,29
2024-01-07T23:00:00-05:00 New_York,,93,ice,29
2024-01-08T00:00:00-05:00 New_York,,93,flurries,29
2024-01-08T01:00:00-05:00 New_York,,91,flurries,28
2024-01-08T02:00:00-05:00 New_York,,88,ice,27
2024-01-08T03:00:00-05:00 New_York,,87,partlyCloudy,25
2024-01-08T04:00:00-05:00 New_York,,91,partlyCloudy,21
2024-01-08T05:00:00-05:00 New_York,,92,clear,18
2024-01-08T06:00:00-05:00 New_York,,93,partlyCloudy,17
2024-01-08T07:00:00-05:00 New_York,,93,partlyCloudy,17
2024-01-08T07:36:00-05:00 New_York,TRUE,,,
2024-01-08T08:00:00-05:00 New_York,,94,showers,18
2024-01-08T09:00:00-05:00 New_York,,96,showers,22
2024-01-08T10:00:00-05:00 New_York,,93,ice,27
2024-01-08T11:00:00-05:00 New_York,,86,ice,30
2024-01-08T12:00:00-05:00 New_York,,84,ice,32
2024-01-08T13:00:00-05:00 New_York,,85,ice,33
2024-01-08T14:00:00-05:00 New_York,,83,showers,33
2024-01-08T15:00:00-05:00 New_York,,82,showers,33
2024-01-08T16:00:00-05:00 New_York,,81,cloudy,32
2024-01-08T16:50:00-05:00 New_York,FALSE,,,
2024-01-08T17:00:00-05:00 New_York,,81,cloudy,29
2024-01-08T18:00:00-05:00 New_York,,85,cloudy,27
2024-01-08T19:00:00-05:00 New_York,,83,cloudy,25
2024-01-08T20:00:00-05:00 New_York,,82,cloudy,25
2024-01-08T21:00:00-05:00 New_York,,83,cloudy,23
2024-01-08T22:00:00-05:00 New_York,,91,partlyCloudy,19
2024-01-08T23:00:00-05:00 New_York,,94,cloudy,15
2024-01-09T00:00:00-05:00 New_York,,94,partlyCloudy,17
2024-01-09T01:00:00-05:00 New_York,,94,cloudy,17
2024-01-09T02:00:00-05:00 New_York,,94,cloudy,18
2024-01-09T03:00:00-05:00 New_York,,91,partlyCloudy,18
2024-01-09T04:00:00-05:00 New_York,,93,partlyCloudy,19
2024-01-09T05:00:00-05:00 New_York,,94,cloudy,19
2024-01-09T06:00:00-05:00 New_York,,93,cloudy,22
2024-01-09T07:00:00-05:00 New_York,,88,cloudy,25
2024-01-09T07:35:00-05:00 New_York,TRUE,,,
2024-01-09T08:00:00-05:00 New_York,,88,ice,27
2024-01-09T09:00:00-05:00 New_York,,88,ice,29
2024-01-09T10:00:00-05:00 New_York,,87,flurries,30
2024-01-09T11:00:00-05:00 New_York,,87,flurries,32
2024-01-09T12:00:00-05:00 New_York,,86,cloudy,33
2024-01-09T13:00:00-05:00 New_York,,91,snow,34
2024-01-09T14:00:00-05:00 New_York,,95,ice,34
2024-01-09T15:00:00-05:00 New_York,,97,ice,35
2024-01-09T16:00:00-05:00 New_York,,97,ice,35
2024-01-09T16:51:00-05:00 New_York,FALSE,,,
2024-01-09T17:00:00-05:00 New_York,,97,showers,35
2024-01-09T18:00:00-05:00 New_York,,97,showers,36
2024-01-09T19:00:00-05:00 New_York,,97,rain,36
2024-01-09T20:00:00-05:00 New_York,,96,showers,38
2024-01-09T21:00:00-05:00 New_York,,94,showers,40
2024-01-09T22:00:00-05:00 New_York,,95,showers,41
2024-01-09T23:00:00-05:00 New_York,,94,showers,42
2024-01-10T00:00:00-05:00 New_York,,92,showers,46
2024-01-10T01:00:00-05:00 New_York,,90,showers,47
2024-01-10T02:00:00-05:00 New_York,,91,showers,44
2024-01-10T03:00:00-05:00 New_York,,84,showers,41
2024-01-10T04:00:00-05:00 New_York,,86,showers,38
2024-01-10T05:00:00-05:00 New_York,,81,showers,34
2024-01-10T06:00:00-05:00 New_York,,86,ice,32
2024-01-10T07:00:00-05:00 New_York,,85,cloudy,32
2024-01-10T07:35:00-05:00 New_York,TRUE,,,
2024-01-10T08:00:00-05:00 New_York,,83,cloudy,33
2024-01-10T09:00:00-05:00 New_York,,82,cloudy,34
2024-01-10T10:00:00-05:00 New_York,,82,showers,35
2024-01-10T11:00:00-05:00 New_York,,88,flurries,36
2024-01-10T12:00:00-05:00 New_York,,84,showers,37
2024-01-10T13:00:00-05:00 New_York,,77,showers,38
2024-01-10T14:00:00-05:00 New_York,,75,showers,39
2024-01-10T15:00:00-05:00 New_York,,78,showers,38
2024-01-10T16:00:00-05:00 New_York,,82,showers,38
2024-01-10T16:52:00-05:00 New_York,FALSE,,,
2024-01-10T17:00:00-05:00 New_York,,81,showers,37
2024-01-10T18:00:00-05:00 New_York,,76,cloudy,35
2024-01-10T19:00:00-05:00 New_York,,77,cloudy,35
2024-01-10T20:00:00-05:00 New_York,,76,cloudy,35
2024-01-10T21:00:00-05:00 New_York,,77,cloudy,35
2024-01-10T22:00:00-05:00 New_York,,81,showers,34
2024-01-10T23:00:00-05:00 New_York,,83,showers,34
2024-01-11T00:00:00-05:00 New_York,,83,flurries,34
2024-01-11T01:00:00-05:00 New_York,,85,flurries,34
2024-01-11T02:00:00-05:00 New_York,,80,ice,34
2024-01-11T03:00:00-05:00 New_York,,77,ice,34
2024-01-11T04:00:00-05:00 New_York,,78,cloudy,33
2024-01-11T05:00:00-05:00 New_York,,81,ice,32
2024-01-11T06:00:00-05:00 New_York,,80,partlyCloudy,32
2024-01-11T07:00:00-05:00 New_York,,80,cloudy,32
2024-01-11T07:35:00-05:00 New_York,TRUE,,,
2024-01-11T08:00:00-05:00 New_York,,78,partlyCloudy,32
2024-01-11T09:00:00-05:00 New_York,,79,cloudy,33
2024-01-11T10:00:00-05:00 New_York,,79,partlyCloudy,34
2024-01-11T11:00:00-05:00 New_York,,78,partlyCloudy,35
2024-01-11T12:00:00-05:00 New_York,,74,cloudy,36
2024-01-11T13:00:00-05:00 New_York,,81,flurries,36
2024-01-11T14:00:00-05:00 New_York,,83,snow,38
2024-01-11T15:00:00-05:00 New_York,,73,showers,38
2024-01-11T16:00:00-05:00 New_York,,73,showers,38
2024-01-11T16:53:00-05:00 New_York,FALSE,,,
2024-01-11T17:00:00-05:00 New_York,,75,showers,37
2024-01-11T18:00:00-05:00 New_York,,77,flurries,36
2024-01-11T19:00:00-05:00 New_York,,80,flurries,36
2024-01-11T20:00:00-05:00 New_York,,77,showers,35
2024-01-11T21:00:00-05:00 New_York,,78,cloudy,35
2024-01-11T22:00:00-05:00 New_York,,78,cloudy,35
2024-01-11T23:00:00-05:00 New_York,,78,showers,34
2024-01-12T00:00:00-05:00 New_York,,93,flurries,34
2024-01-12T01:00:00-05:00 New_York,,88,ice,33
2024-01-12T02:00:00-05:00 New_York,,87,cloudy,31
2024-01-12T03:00:00-05:00 New_York,,91,cloudy,31
2024-01-12T04:00:00-05:00 New_York,,92,flurries,32
2024-01-12T05:00:00-05:00 New_York,,91,flurries,32
2024-01-12T06:00:00-05:00 New_York,,91,ice,32
2024-01-12T07:00:00-05:00 New_York,,92,flurries,31
2024-01-12T07:34:00-05:00 New_York,TRUE,,,
2024-01-12T08:00:00-05:00 New_York,,92,ice,31
2024-01-12T09:00:00-05:00 New_York,,92,partlyCloudy,31
2024-01-12T10:00:00-05:00 New_York,,89,partlyCloudy,32
2024-01-12T11:00:00-05:00 New_York,,84,cloudy,33
2024-01-12T12:00:00-05:00 New_York,,79,cloudy,35
2024-01-12T13:00:00-05:00 New_York,,75,cloudy,36
2024-01-12T14:00:00-05:00 New_York,,75,partlyCloudy,37
2024-01-12T15:00:00-05:00 New_York,,75,cloudy,37
2024-01-12T16:00:00-05:00 New_York,,77,cloudy,36
2024-01-12T16:54:00-05:00 New_York,FALSE,,,
2024-01-12T17:00:00-05:00 New_York,,79,partlyCloudy,36
2024-01-12T18:00:00-05:00 New_York,,79,showers,36
2024-01-12T19:00:00-05:00 New_York,,77,cloudy,35
2024-01-12T20:00:00-05:00 New_York,,84,snow,34
2024-01-12T21:00:00-05:00 New_York,,94,snow,34
2024-01-12T22:00:00-05:00 New_York,,96,snow,34
2024-01-12T23:00:00-05:00 New_York,,97,snow,35
2024-01-13T00:00:00-05:00 New_York,,97,ice,36
2024-01-13T01:00:00-05:00 New_York,,98,rain,39
2024-01-13T02:00:00-05:00 New_York,,96,showers,39
2024-01-13T03:00:00-05:00 New_York,,98,showers,37
2024-01-13T04:00:00-05:00 New_York,,100,showers,35
2024-01-13T05:00:00-05:00 New_York,,100,cloudy,34
2024-01-13T06:00:00-05:00 New_York,,100,showers,35
2024-01-13T07:00:00-05:00 New_York,,97,showers,37
2024-01-13T07:34:00-05:00 New_York,TRUE,,,
2024-01-13T08:00:00-05:00 New_York,,86,partlyCloudy,35
2024-01-13T09:00:00-05:00 New_York,,77,clear,35
2024-01-13T10:00:00-05:00 New_York,,77,partlyCloudy,34
2024-01-13T11:00:00-05:00 New_York,,78,flurries,33
2024-01-13T12:00:00-05:00 New_York,,76,cloudy,32
2024-01-13T13:00:00-05:00 New_York,,76,cloudy,32
2024-01-13T14:00:00-05:00 New_York,,76,snow,31
2024-01-13T15:00:00-05:00 New_York,,77,snow,31
2024-01-13T16:00:00-05:00 New_York,,77,snow,31
2024-01-13T16:56:00-05:00 New_York,FALSE,,,
2024-01-13T17:00:00-05:00 New_York,,76,snow,30
2024-01-13T18:00:00-05:00 New_York,,74,flurries,29
2024-01-13T19:00:00-05:00 New_York,,76,snow,28
2024-01-13T20:00:00-05:00 New_York,,74,snow,27
2024-01-13T21:00:00-05:00 New_York,,76,snow,27
2024-01-13T22:00:00-05:00 New_York,,78,snow,26
2024-01-13T23:00:00-05:00 New_York,,76,flurries,25
2024-01-14T00:00:00-05:00 New_York,,70,cloudy,26
2024-01-14T01:00:00-05:00 New_York,,69,cloudy,26
2024-01-14T02:00:00-05:00 New_York,,69,cloudy,26
2024-01-14T03:00:00-05:00 New_York,,69,cloudy,27
2024-01-14T04:00:00-05:00 New_York,,68,cloudy,27
2024-01-14T05:00:00-05:00 New_York,,66,flurries,26
2024-01-14T06:00:00-05:00 New_York,,71,snow,25
2024-01-14T07:00:00-05:00 New_York,,74,snow,23
2024-01-14T07:34:00-05:00 New_York,TRUE,,,
2024-01-14T08:00:00-05:00 New_York,,63,snow,22
2024-01-14T09:00:00-05:00 New_York,,65,cloudy,21
2024-01-14T10:00:00-05:00 New_York,,63,cloudy,20
2024-01-14T11:00:00-05:00 New_York,,61,cloudy,20
2024-01-14T12:00:00-05:00 New_York,,58,cloudy,21
2024-01-14T13:00:00-05:00 New_York,,58,cloudy,21
2024-01-14T14:00:00-05:00 New_York,,57,cloudy,21
2024-01-14T15:00:00-05:00 New_York,,58,flurries,21
2024-01-14T16:00:00-05:00 New_York,,59,flurries,21
2024-01-14T16:57:00-05:00 New_York,FALSE,,,
2024-01-14T17:00:00-05:00 New_York,,61,snow,20
2024-01-14T18:00:00-05:00 New_York,,64,snow,19
2024-01-14T19:00:00-05:00 New_York,,66,flurries,19
2024-01-14T20:00:00-05:00 New_York,,67,flurries,18
2024-01-14T21:00:00-05:00 New_York,,65,ice,18
2024-01-14T22:00:00-05:00 New_York,,64,clear,18
2024-01-14T23:00:00-05:00 New_York,,64,partlyCloudy,17
2024-01-15T00:00:00-05:00 New_York,,66,partlyCloudy,17
2024-01-15T01:00:00-05:00 New_York,,67,partlyCloudy,16
2024-01-15T02:00:00-05:00 New_York,,68,partlyCloudy,15
2024-01-15T03:00:00-05:00 New_York,,69,partlyCloudy,15
2024-01-15T04:00:00-05:00 New_York,,70,partlyCloudy,15
2024-01-15T05:00:00-05:00 New_York,,70,partlyCloudy,14
2024-01-15T06:00:00-05:00 New_York,,70,clear,14
2024-01-15T07:00:00-05:00 New_York,,70,clear,14
2024-01-15T07:33:00-05:00 New_York,TRUE,,,
2024-01-15T08:00:00-05:00 New_York,,71,clear,14
2024-01-15T09:00:00-05:00 New_York,,70,clear,14
2024-01-15T10:00:00-05:00 New_York,,65,clear,15
2024-01-15T11:00:00-05:00 New_York,,57,clear,17
2024-01-15T12:00:00-05:00 New_York,,53,partlyCloudy,18
2024-01-15T13:00:00-05:00 New_York,,52,cloudy,19
2024-01-15T14:00:00-05:00 New_York,,51,cloudy,20
2024-01-15T15:00:00-05:00 New_York,,50,cloudy,21
2024-01-15T16:00:00-05:00 New_York,,50,cloudy,21
2024-01-15T16:58:00-05:00 New_York,FALSE,,,
2024-01-15T17:00:00-05:00 New_York,,54,cloudy,20
2024-01-15T18:00:00-05:00 New_York,,59,partlyCloudy,20
2024-01-15T19:00:00-05:00 New_York,,63,clear,19
2024-01-15T20:00:00-05:00 New_York,,67,partlyCloudy,19
2024-01-15T21:00:00-05:00 New_York,,68,cloudy,19
2024-01-15T22:00:00-05:00 New_York,,68,cloudy,18
2024-01-15T23:00:00-05:00 New_York,,67,partlyCloudy,18
2024-01-16T00:00:00-05:00 New_York,,64,cloudy,20
2024-01-16T01:00:00-05:00 New_York,,60,cloudy,20
2024-01-16T02:00:00-05:00 New_York,,59,ice,20
2024-01-16T03:00:00-05:00 New_York,,62,flurries,20
2024-01-16T04:00:00-05:00 New_York,,67,flurries,20
2024-01-16T05:00:00-05:00 New_York,,77,snow,19
2024-01-16T06:00:00-05:00 New_York,,87,snow,19
2024-01-16T07:00:00-05:00 New_York,,89,snow,19
2024-01-16T07:33:00-05:00 New_York,TRUE,,,
2024-01-16T08:00:00-05:00 New_York,,88,snow,19
2024-01-16T09:00:00-05:00 New_York,,87,snow,19
2024-01-16T10:00:00-05:00 New_York,,86,snow,20
2024-01-16T11:00:00-05:00 New_York,,84,snow,20
2024-01-16T12:00:00-05:00 New_York,,84,snow,20
2024-01-16T13:00:00-05:00 New_York,,83,snow,21
2024-01-16T14:00:00-05:00 New_York,,73,snow,22
2024-01-16T15:00:00-05:00 New_York,,61,flurries,22
2024-01-16T16:00:00-05:00 New_York,,58,flurries,22
2024-01-16T16:59:00-05:00 New_York,FALSE,,,
2024-01-16T17:00:00-05:00 New_York,,62,ice,21
2024-01-16T18:00:00-05:00 New_York,,65,ice,20
2024-01-16T19:00:00-05:00 New_York,,67,ice,19
2024-01-16T20:00:00-05:00 New_York,,70,ice,18
2024-01-16T21:00:00-05:00 New_York,,73,partlyCloudy,17
2024-01-16T22:00:00-05:00 New_York,,72,clear,16
2024-01-16T23:00:00-05:00 New_York,,71,clear,15
2024-01-17T00:00:00-05:00 New_York,,89,flurries,14
2024-01-17T01:00:00-05:00 New_York,,87,ice,13
2024-01-17T02:00:00-05:00 New_York,,86,cloudy,13
2024-01-17T03:00:00-05:00 New_York,,83,cloudy,12
2024-01-17T04:00:00-05:00 New_York,,81,partlyCloudy,12
2024-01-17T05:00:00-05:00 New_York,,81,partlyCloudy,11
2024-01-17T06:00:00-05:00 New_York,,81,partlyCloudy,11
2024-01-17T07:00:00-05:00 New_York,,81,clear,11
2024-01-17T07:32:00-05:00 New_York,TRUE,,,
2024-01-17T08:00:00-05:00 New_York,,80,clear,11
2024-01-17T09:00:00-05:00 New_York,,78,clear,11
2024-01-17T10:00:00-05:00 New_York,,75,clear,12
2024-01-17T11:00:00-05:00 New_York,,69,partlyCloudy,14
2024-01-17T12:00:00-05:00 New_York,,64,clear,15
2024-01-17T13:00:00-05:00 New_York,,63,clear,16
2024-01-17T14:00:00-05:00 New_York,,61,partlyCloudy,17
2024-01-17T15:00:00-05:00 New_York,,60,cloudy,18
2024-01-17T16:00:00-05:00 New_York,,60,partlyCloudy,18
2024-01-17T17:00:00-05:00 New_York,FALSE,63,partlyCloudy,18
2024-01-17T18:00:00-05:00 New_York,,67,cloudy,17
2024-01-17T19:00:00-05:00 New_York,,69,cloudy,17
2024-01-17T20:00:00-05:00 New_York,,69,cloudy,17
2024-01-17T21:00:00-05:00 New_York,,68,partlyCloudy,17
2024-01-17T22:00:00-05:00 New_York,,67,clear,18
2024-01-17T23:00:00-05:00 New_York,,67,clear,18
2024-01-18T00:00:00-05:00 New_York,,68,cloudy,18
2024-01-18T01:00:00-05:00 New_York,,70,cloudy,18
2024-01-18T02:00:00-05:00 New_York,,73,cloudy,19
2024-01-18T03:00:00-05:00 New_York,,76,ice,19
2024-01-18T04:00:00-05:00 New_York,,81,flurries,19
2024-01-18T05:00:00-05:00 New_York,,83,flurries,19
2024-01-18T06:00:00-05:00 New_York,,83,flurries,20
2024-01-18T07:00:00-05:00 New_York,,84,flurries,20
2024-01-18T07:32:00-05:00 New_York,TRUE,,,
2024-01-18T08:00:00-05:00 New_York,,85,flurries,20
2024-01-18T09:00:00-05:00 New_York,,85,flurries,21
2024-01-18T10:00:00-05:00 New_York,,81,ice,22
2024-01-18T11:00:00-05:00 New_York,,77,flurries,23
2024-01-18T12:00:00-05:00 New_York,,75,flurries,24
2024-01-18T13:00:00-05:00 New_York,,78,snow,25
2024-01-18T14:00:00-05:00 New_York,,82,snow,25
